Athlete_ID,Day,Day_of_Week,Week,Age,Gender,Sport_Type,Training_Type,Training_Duration_Min,Training_Intensity,Sleep_Duration_Hours,Caffeine_Intake_mg,Stress_Level,Resting_Heart_Rate,HRV_ms,Mood_Score,Muscle_Soreness,Energy_Level,Recovery_Score
1000,1,1,1,28,Male,Team Sport,HIIT,46,7.9,7.7,270,High,59,75,4.3,4.8,5.9,51.1
1000,2,2,1,28,Male,Team Sport,Cardio,71,7,7.3,258,Low,55,79,5.9,4,5.8,63.7
1000,3,3,1,28,Male,Team Sport,HIIT,45,7.3,7.7,214,Medium,57,77,5.1,4,5.6,71
1000,4,4,1,28,Male,Team Sport,Cardio,86,7.5,7.9,228,High,61,71,3,6.2,2.7,37.2
1000,5,5,1,28,Male,Team Sport,HIIT,28,9.2,6.7,0,High,64,62,3.3,7.4,1.1,12.3
1000,6,6,1,28,Male,Team Sport,Cardio,70,5.5,8.4,149,Low,58,79,6.2,5.1,3.1,82.3
1000,7,7,1,28,Male,Team Sport,Yoga,42,2.9,7.8,217,Medium,59,73,5.2,3.5,4.1,44.5
1000,8,1,2,28,Male,Team Sport,Strength,63,7.7,7.8,343,High,60,65,4.3,7.6,1,25.1
1000,9,2,2,28,Male,Team Sport,HIIT,54,9.4,8,216,High,61,68,4.9,7.2,1.1,27.4
1000,10,3,2,28,Male,Team Sport,Strength,78,8.5,5.9,299,High,67,59,2.7,8,1,0
1000,11,4,2,28,Male,Team Sport,HIIT,37,7.6,6.8,302,High,60,65,5.9,7.7,1,16.8
1000,12,5,2,28,Male,Team Sport,Cardio,38,6.7,5.7,0,High,63,48,3.7,5,1,0
1000,13,6,2,28,Male,Team Sport,Cardio,62,4.4,6.2,282,Medium,61,70,4.2,5.2,3.3,19.5
1000,14,7,2,28,Male,Team Sport,Yoga,56,3.3,7.1,196,Medium,62,70,6.6,3.1,5.4,33
1000,15,1,3,28,Male,Team Sport,Cardio,67,8,8.4,0,Medium,62,70,6.1,6.9,4.3,54.3
1000,16,2,3,28,Male,Team Sport,HIIT,35,8.2,7,352,High,61,68,3.1,7.7,1.4,23
1000,17,3,3,28,Male,Team Sport,Strength,68,6.6,7.5,288,Medium,63,62,5.6,5.8,2.3,7.9
1000,18,4,3,28,Male,Team Sport,HIIT,29,9.6,6.7,297,High,64,61,3.5,10,1,10.4
1000,19,5,3,28,Male,Team Sport,Cardio,70,7.9,7.4,0,Medium,60,66,5.2,6.2,1.1,25.2
1000,20,6,3,28,Male,Team Sport,Cardio,68,7,7.7,250,Medium,62,58,4.7,4.8,3.7,18.2
1000,21,7,3,28,Male,Team Sport,Yoga,47,2,7.6,193,Low,57,76,6.1,1.7,4.7,59.3
1000,22,1,4,28,Male,Team Sport,HIIT,57,5.5,7.6,175,Medium,57,65,5.4,4.7,1.8,42.8
1000,23,2,4,28,Male,Team Sport,Cardio,64,5,7.7,306,Medium,61,69,5.9,4.5,3.1,26.7
1000,24,3,4,28,Male,Team Sport,Cardio,43,3.9,6.7,0,High,61,60,5,4.9,2.2,3.1
1000,25,4,4,28,Male,Team Sport,Cardio,91,5.1,8,196,Low,58,77,6,3.1,4.8,67.2
1000,26,5,4,28,Male,Team Sport,Strength,55,6.1,7.9,129,Medium,58,74,4.5,4.9,3.8,49.9
1000,27,6,4,28,Male,Team Sport,Yoga,66,2.3,6.1,278,High,60,69,3.3,1.7,2.1,21.4
1000,28,7,4,28,Male,Team Sport,Rest,12,2.9,7.1,190,Low,60,81,5,2.7,3,69.6
1001,1,1,1,21,Male,Endurance,Cardio,77,6.3,7.6,0,Low,42,76,6.4,1.4,9.8,86.9
1001,2,2,1,21,Male,Endurance,Cardio,69,6.9,7.2,240,Medium,47,63,3.9,4.5,2.2,39.8
1001,3,3,1,21,Male,Endurance,HIIT,47,9,7.1,367,High,47,69,3.9,5.8,3.4,42.9
1001,4,4,1,21,Male,Endurance,HIIT,32,8.1,7.2,175,Low,46,74,4.9,5.9,3.2,45.2
1001,5,5,1,21,Male,Endurance,Cardio,62,5.6,7.1,226,Low,45,74,4.9,4.1,3.9,47.1
1001,6,6,1,21,Male,Endurance,Cardio,73,5.5,7.6,280,High,48,66,5.7,5,2.7,41
1001,7,7,1,21,Male,Endurance,Rest,15,2.1,7.8,266,High,52,68,3.1,4.1,3,32.9
1001,8,1,2,21,Male,Endurance,HIIT,12,8.3,8.1,276,Medium,44,77,5.1,6.4,5.6,70.9
1001,9,2,2,21,Male,Endurance,HIIT,28,10,6.2,357,High,52,56,4.7,9.6,1,0
1001,10,3,2,21,Male,Endurance,HIIT,69,8.2,6.8,212,High,48,58,4.2,7.7,3.7,6.7
1001,11,4,2,21,Male,Endurance,Cardio,48,6.5,6.2,290,Medium,49,59,3.4,5.3,1.7,2
1001,12,5,2,21,Male,Endurance,Cardio,73,6.1,,272,High,50,58,3.4,6.6,1.2,0
1001,13,6,2,21,Male,Endurance,Cardio,67,5.9,6.7,225,Medium,50,64,6.9,4.8,2.3,34.6
1001,14,7,2,21,Male,Endurance,Rest,42,3.6,7.1,227,Medium,44,75,5.8,6.1,1.8,45.9
1001,15,1,3,21,Male,Endurance,Cardio,57,6.3,7.6,240,Medium,45,70,5.8,6.1,2.6,41.8
1001,16,2,3,21,Male,Endurance,Cardio,71,6.4,7.8,260,Medium,47,70,5.6,4.2,3.6,34.7
1001,17,3,3,21,Male,Endurance,Cardio,78,6.1,7.3,161,High,49,68,4.2,4.6,2.4,17.4
1001,18,4,3,21,Male,Endurance,Cardio,68,6.7,,225,Medium,46,71,5.7,4.7,3.1,49.4
1001,19,5,3,21,Male,Endurance,Cardio,61,6.6,6.9,222,Medium,48,60,5.5,6.3,3,21.6
1001,20,6,3,21,Male,Endurance,Cardio,70,5.7,8.6,221,Low,45,74,6.1,4.7,3.7,52.4
1001,21,7,3,21,Male,Endurance,Yoga,51,3.3,7,0,Medium,48,66,5.3,2.9,1.9,42.8
1001,22,1,4,21,Male,Endurance,HIIT,31,7.5,7.7,341,Medium,48,72,7.2,5.8,2.5,53.3
1001,23,2,4,21,Male,Endurance,Cardio,81,5.9,8,0,Low,46,74,5.5,4.4,4.5,81.4
1001,24,3,4,21,Male,Endurance,Cardio,75,5,8.6,108,Low,47,81,6.3,4.6,5.2,100
1001,25,4,4,21,Male,Endurance,HIIT,42,7,8.4,244,Medium,49,70,5,5.9,2.5,61.1
1001,26,5,4,21,Male,Endurance,HIIT,39,6.6,6.8,0,High,49,63,4.6,4.7,3,30.6
1001,27,6,4,21,Male,Endurance,Cardio,82,4.5,5.9,251,Medium,48,56,4.8,4.6,2.4,3.8
1001,28,7,4,21,Male,Endurance,Yoga,71,1.9,7.5,183,Medium,46,71,3.8,1,5,53.1
1002,1,1,1,30,Male,Strength,Strength,62,5.6,7.9,247,Medium,46,94,5.6,2.5,6.4,96
1002,2,2,1,30,Male,Strength,Strength,75,6.4,7.7,212,Low,51,85,5.4,3.5,7,88.8
1002,3,3,1,30,Male,Strength,Strength,49,7.8,9.1,290,High,54,82,5.8,3.9,5.7,89.9
1002,4,4,1,30,Male,Strength,HIIT,10,7.8,7.6,337,Medium,53,76,5.1,3.5,3.9,58.3
1002,5,5,1,30,Male,Strength,Strength,87,6.7,8.1,214,Low,53,86,7,4.5,5.2,88.1
1002,6,6,1,30,Male,Strength,Strength,61,6.7,,0,High,54,69,5,6.2,2.4,20.7
1002,7,7,1,30,Male,Strength,Rest,23,2.6,7.5,141,Low,51,96,4.6,1.4,6.9,80.8
1002,8,1,2,30,Male,Strength,Strength,50,6.7,7.6,199,High,53,71,2.7,5.7,3.4,37.9
1002,9,2,2,30,Male,Strength,Strength,50,7.8,7.4,257,High,53,80,4.1,4.5,3.6,46.2
1002,10,3,2,30,Male,Strength,Strength,56,7.5,7.4,87,High,55,71,4.6,5.9,2.8,32.1
1002,11,4,2,30,Male,Strength,Strength,73,7.6,8.2,292,Medium,53,73,4.9,7,2,52.3
1002,12,5,2,30,Male,Strength,Strength,59,7.8,7.1,0,Medium,56,71,4.9,7.4,2.9,33
1002,13,6,2,30,Male,Strength,Yoga,51,3.5,,243,Medium,53,76,5.5,5.7,3.5,47.4
1002,14,7,2,30,Male,Strength,Yoga,46,4.2,7.1,0,Medium,52,80,3.9,4.8,2.1,56.7
1002,15,1,3,30,Male,Strength,Strength,79,8,9.4,227,Medium,51,91,6.6,6.5,5.3,100
1002,16,2,3,30,Male,Strength,Strength,75,9.6,6.8,338,Medium,57,68,5.8,10,2,5.9
1002,17,3,3,30,Male,Strength,Strength,59,8.1,8.7,248,Medium,57,72,5.4,5.9,1.1,52.5
1002,18,4,3,30,Male,Strength,Strength,73,6.5,7.3,0,Medium,54,70,3.5,4.2,3.4,42.3
1002,19,5,3,30,Male,Strength,Strength,62,8.6,,228,Medium,56,69,4.2,7.4,1,28.3
1002,20,6,3,30,Male,Strength,Yoga,51,4,7.3,186,High,58,69,4.5,5,2.6,23.5
1002,21,7,3,30,Male,Strength,Yoga,54,3.7,6.6,0,High,54,68,5.2,4.8,3.3,26.1
1002,22,1,4,30,Male,Strength,Strength,73,5.7,7.1,0,Medium,54,83,5.4,5.5,2.7,64.4
1002,23,2,4,30,Male,Strength,Strength,54,4,8.7,0,Medium,52,85,5.8,3.3,5.5,90.3
1002,24,3,4,30,Male,Strength,Strength,71,4.2,7.7,274,Medium,52,85,5.1,4.4,2.4,43.3
1002,25,4,4,30,Male,Strength,HIIT,65,8.5,7.7,321,High,56,75,4.2,6,1,53
1002,26,5,4,30,Male,Strength,Strength,67,5.4,7.4,208,Medium,53,71,5.6,6,2.3,46.9
1002,27,6,4,30,Male,Strength,Strength,65,6.8,8.3,214,Low,54,84,7.1,6.2,4.2,76.3
1002,28,7,4,30,Male,Strength,Yoga,54,1.3,8,145,Low,49,90,5.2,3.5,5.1,97.5
1003,1,1,1,31,Male,Team Sport,Strength,71,6.1,,0,High,54,63,5.2,5.1,5.8,27.4
1003,2,2,1,31,Male,Team Sport,Strength,46,7.6,9.5,89,Medium,54,73,8.1,4.3,6.3,100
1003,3,3,1,31,Male,Team Sport,Strength,85,6.9,6.9,195,Low,59,67,4.8,6.1,5.7,50
1003,4,4,1,31,Male,Team Sport,Cardio,82,6.3,7.3,262,High,59,52,3.9,4.6,1.9,16.8
1003,5,5,1,31,Male,Team Sport,Strength,57,7,8,157,Medium,59,59,6.3,5.8,4.8,45
1003,6,6,1,31,Male,Team Sport,Rest,20,1.3,7.6,253,Medium,60,64,4.7,2.9,3.4,54.5
1003,7,7,1,31,Male,Team Sport,Yoga,48,2.6,7.3,188,Medium,56,67,4.4,3.1,5.4,54.4
1003,8,1,2,31,Male,Team Sport,Cardio,74,5.2,7.3,220,Low,63,60,4.7,4.6,4.2,42.5
1003,9,2,2,31,Male,Team Sport,Strength,66,8.8,7.7,258,Medium,57,70,5.6,5.6,3.9,58.8
1003,10,3,2,31,Male,Team Sport,Cardio,73,7.7,7.1,226,Medium,59,60,4.4,6.6,1.5,18.9
1003,11,4,2,31,Male,Team Sport,Cardio,58,5.3,8.4,191,Medium,64,48,6.2,6,3.7,33.7
1003,12,5,2,31,Male,Team Sport,Strength,59,6.6,7.9,173,Low,57,61,6.1,5.2,3.9,37.4
1003,13,6,2,31,Male,Team Sport,Yoga,69,3.1,7.8,67,Low,56,70,8.1,2.3,5.2,67.2
1003,14,7,2,31,Male,Team Sport,Yoga,49,3.8,6.9,349,High,60,57,4.5,3,1.7,18.5
1003,15,1,3,31,Male,Team Sport,HIIT,10,9.3,7.7,0,High,59,54,4.7,7.4,2.1,24.1
1003,16,2,3,31,Male,Team Sport,Cardio,68,7.1,8.2,0,High,63,52,5.5,5.2,4.3,12.8
1003,17,3,3,31,Male,Team Sport,HIIT,64,9.4,7.6,0,High,62,49,4,8.2,1,9.4
1003,18,4,3,31,Male,Team Sport,Cardio,80,6.6,7.3,226,High,60,49,3.1,5.3,1,7.7
1003,19,5,3,31,Male,Team Sport,HIIT,28,10,8,285,Medium,64,60,6.8,8.5,1.5,29.2
1003,20,6,3,31,Male,Team Sport,Cardio,69,6.2,6.6,243,Medium,61,62,6.7,6.4,2.4,23.2
1003,21,7,3,31,Male,Team Sport,Yoga,63,5.2,7.2,194,Medium,64,54,5.8,5.5,1.2,7.4
1003,22,1,4,31,Male,Team Sport,HIIT,14,8.3,7.5,0,Medium,64,47,4.3,7,2.3,23.1
1003,23,2,4,31,Male,Team Sport,HIIT,25,7.4,6.8,238,High,59,54,3.3,6.3,2.2,7.5
1003,24,3,4,31,Male,Team Sport,Cardio,75,3.2,8.1,211,Medium,61,64,6.2,3.6,3.9,53.7
1003,25,4,4,31,Male,Team Sport,Strength,84,6,7.7,143,Medium,62,56,4.7,4.5,3.2,34
1003,26,5,4,31,Male,Team Sport,HIIT,30,6.5,6.9,197,Medium,62,45,4.3,5.5,1.8,14.5
1003,27,6,4,31,Male,Team Sport,Cardio,89,4.9,6.9,0,Medium,62,53,5.2,5.8,3.9,25.3
1003,28,7,4,31,Male,Team Sport,Yoga,46,1.8,8,141,Low,56,68,6.4,1.8,4.4,71.4
1004,1,1,1,18,Male,Team Sport,Cardio,29,6.5,7.5,387,Medium,63,86,6.6,3,4.3,78.5
1004,2,2,1,18,Male,Team Sport,Cardio,79,6.7,7.4,273,Medium,59,92,6.2,3.8,5.4,75.9
1004,3,3,1,18,Male,Team Sport,Strength,71,8.1,9.5,0,Low,61,94,8.3,5,6.2,100
1004,4,4,1,18,Male,Team Sport,Strength,74,6.7,7.5,188,Medium,63,87,5,5.7,3.9,60.9
1004,5,5,1,18,Male,Team Sport,Cardio,78,4.8,7.4,0,Low,63,91,7.4,4.1,3.7,64.5
1004,6,6,1,18,Male,Team Sport,Yoga,57,3.5,8.4,215,Medium,59,89,5.7,3.2,4.6,79.9
1004,7,7,1,18,Male,Team Sport,Yoga,52,4.8,7.8,202,Medium,65,90,5.8,3.8,3.8,68.5
1004,8,1,2,18,Male,Team Sport,Cardio,67,6.3,8.1,247,High,61,89,5.4,4.6,3.5,81
1004,9,2,2,18,Male,Team Sport,Strength,59,8,7.9,311,High,68,75,3.5,6.4,2.6,51
1004,10,3,2,18,Male,Team Sport,Cardio,65,6.1,7.3,203,Medium,64,82,5.6,5.1,2.1,43
1004,11,4,2,18,Male,Team Sport,Strength,43,7.1,7,281,Medium,64,84,5,5,2.9,41.3
1004,12,5,2,18,Male,Team Sport,Strength,50,8.2,7.8,275,Medium,63,86,5.6,6.8,4.1,56.8
1004,13,6,2,18,Male,Team Sport,Cardio,68,6.2,7,206,Medium,64,71,4.3,7,1.4,31.1
1004,14,7,2,18,Male,Team Sport,Rest,10,2,7.3,0,Medium,60,94,5.6,3.2,4.5,53.2
1004,15,1,3,18,Male,Team Sport,HIIT,11,9.9,6.1,165,High,68,73,4.3,9.3,1.5,28.1
1004,16,2,3,18,Male,Team Sport,HIIT,31,9.7,7.4,272,Medium,64,82,6.1,8.5,3.5,56.6
1004,17,3,3,18,Male,Team Sport,HIIT,33,9.9,8.3,280,Medium,67,82,7.5,7,1.8,60.9
1004,18,4,3,18,Male,Team Sport,Strength,61,7.3,7.5,0,Medium,65,68,6,7.9,1,17.9
