Player_ID,Age,Game_Genre,PlayTime_Hours,Sleep_Hours,Energy_Drinks,Screen_Brightness,Blue_Light_Filter,APM,Heart_Rate_BPM,HRV_Score,Reaction_Time_ms,Match_Outcome
PL_000001,24,FPS,1.41,8.88,0,43.4,Yes,107,78,95.02,268.96,Loss
PL_000002,22,FPS,4.43,7.45,2,88.0,Yes,110,102,82.92,281.9,Win
PL_000003,25,Battle Royale,3.75,8.1,1,24.8,Yes,152,96,89.13,288.57,Win
PL_000004,29,FPS,1.76,6.69,0,80.2,No,151,65,80.41,279.76,Win
PL_000005,22,FPS,5.79,8.17,1,34.4,No,148,95,95.71,229.62,Loss
PL_000006,22,MOBA,0.5,5.81,1,22.1,No,233,84,100.0,264.14,Loss
PL_000007,29,FPS,0.84,7.46,0,73.0,No,125,71,97.34,278.56,Loss
PL_000008,26,Battle Royale,1.41,6.08,0,34.5,No,110,68,88.56,272.0,Loss
PL_000009,21,FPS,3.89,5.92,1,14.0,Yes,148,76,90.07,263.71,Loss
PL_000010,25,MOBA,0.5,3.67,1,22.4,Yes,350,99,83.5,273.52,Loss
PL_000011,21,MOBA,5.75,5.71,1,54.3,Yes,234,76,89.05,262.93,Win
PL_000012,21,MOBA,5.42,6.51,3,36.1,No,242,99,94.48,260.3,Win
PL_000013,23,Fighting,0.5,7.84,0,27.5,No,256,76,87.23,241.66,Loss
PL_000014,16,Battle Royale,2.57,7.33,2,91.2,No,130,87,85.87,252.31,Loss
PL_000015,16,FPS,0.67,6.03,0,15.9,No,164,69,100.0,259.45,Win
PL_000016,20,FPS,5.74,7.86,0,60.8,No,52,70,89.79,278.88,Loss
PL_000017,18,FPS,1.63,8.45,0,33.8,Yes,101,78,100.0,230.36,Win
PL_000018,24,Fighting,4.38,6.38,2,86.7,No,361,96,81.22,278.26,Loss
PL_000019,19,MOBA,0.5,4.51,3,62.4,No,243,103,82.56,264.01,Win
PL_000020,17,FPS,5.93,6.99,1,83.2,Yes,155,86,81.63,267.39,Win
PL_000021,28,MOBA,5.25,7.3,1,49.8,Yes,219,101,66.91,244.54,Win
PL_000022,22,MOBA,8.28,6.7,0,37.8,Yes,207,82,85.55,303.39,Loss
PL_000023,23,FPS,0.99,4.43,0,17.2,Yes,126,82,68.8,296.5,Win
PL_000024,17,FPS,1.02,3.53,1,24.5,No,171,79,100.0,269.79,Loss
PL_000025,20,MOBA,0.5,6.75,1,59.5,Yes,207,91,89.04,234.31,Win
PL_000026,23,MOBA,2.24,4.86,0,27.2,No,195,78,74.01,281.96,Win
PL_000027,18,MOBA,0.5,4.98,0,53.7,No,252,93,95.55,259.81,Loss
PL_000028,24,Fighting,0.63,6.53,3,62.1,No,437,104,92.84,267.25,Loss
PL_000029,20,FPS,4.97,8.21,0,45.6,Yes,174,66,88.35,237.7,Loss
PL_000030,21,FPS,0.5,3.99,1,97.0,No,127,89,100.0,277.86,Win
PL_000031,20,MOBA,3.37,4.65,2,12.5,No,186,71,89.18,249.35,Win
PL_000032,30,FPS,0.5,3.99,1,85.4,Yes,167,83,77.75,293.6,Win
PL_000033,22,FPS,1.52,7.41,1,46.9,Yes,147,80,100.0,257.6,Loss
PL_000034,18,Fighting,2.26,6.33,0,80.5,Yes,336,85,78.99,241.93,Win
PL_000035,26,MOBA,5.05,7.77,3,53.5,Yes,303,92,95.51,284.56,Loss
PL_000036,18,MOBA,0.5,7.49,1,13.0,No,239,73,88.98,256.15,Loss
PL_000037,23,Battle Royale,2.08,7.48,2,19.4,Yes,151,81,90.45,230.92,Loss
PL_000038,16,Battle Royale,3.68,5.47,2,84.9,Yes,103,79,68.04,223.69,Loss
PL_000039,17,Battle Royale,1.48,6.96,0,59.3,No,179,73,97.24,253.44,Win
PL_000040,23,Battle Royale,4.19,6.07,2,36.3,No,135,77,100.0,259.19,Loss
PL_000041,25,FPS,3.37,7.24,0,15.3,No,141,78,77.32,252.91,Loss
PL_000042,23,MOBA,1.86,5.16,1,73.4,No,247,79,96.72,281.04,Loss
PL_000043,22,MOBA,0.57,5.56,3,65.3,Yes,348,87,99.27,247.45,Loss
PL_000044,21,Battle Royale,0.66,3.08,0,67.9,No,117,65,87.58,274.17,Win
PL_000045,17,Battle Royale,9.63,6.37,1,17.1,No,62,79,59.63,282.55,Win
PL_000046,20,FPS,0.5,7.93,4,42.3,Yes,246,92,94.37,248.93,Win
PL_000047,21,Battle Royale,2.6,4.56,2,62.3,No,114,79,90.02,257.46,Loss
PL_000048,27,FPS,4.67,6.58,1,92.2,Yes,106,79,72.42,278.09,Loss
PL_000049,24,MOBA,1.1,6.49,3,25.1,Yes,288,108,76.6,263.73,Loss
PL_000050,16,FPS,0.54,7.88,1,50.2,No,154,78,99.75,234.3,Win
PL_000051,24,Battle Royale,2.42,7.69,4,99.1,No,186,93,89.03,270.78,Win
PL_000052,21,MOBA,1.99,7.05,2,64.0,No,315,89,63.97,268.93,Win
PL_000053,20,MOBA,1.0,4.41,2,80.9,Yes,235,98,83.06,245.02,Loss
PL_000054,25,MOBA,0.68,6.42,4,71.0,No,353,92,100.0,255.25,Loss
PL_000055,27,MOBA,0.79,5.16,0,30.2,No,346,88,89.97,294.85,Loss
PL_000056,26,MOBA,1.85,5.64,1,41.4,Yes,361,86,84.67,275.41,Loss
PL_000057,19,MOBA,0.67,7.64,1,29.5,No,196,85,92.63,241.5,Loss
PL_000058,21,MOBA,3.14,8.3,1,49.3,No,228,94,74.93,273.69,Win
PL_000059,24,Fighting,2.74,7.23,4,,No,379,100,82.84,234.3,Loss
PL_000060,26,FPS,2.94,6.93,2,57.5,No,144,86,59.52,265.56,Win
PL_000061,21,FPS,0.5,4.27,4,41.7,Yes,175,93,90.42,231.5,Win
PL_000062,22,Fighting,0.98,6.15,0,26.5,Yes,360,89,93.14,263.03,Loss
PL_000063,18,FPS,2.66,7.64,0,63.4,No,100,86,100.0,236.6,Win
PL_000064,18,FPS,5.76,7.34,1,13.2,Yes,167,90,78.67,269.49,Win
PL_000065,26,Fighting,1.05,6.68,0,34.8,No,190,69,94.32,253.67,Win
PL_000066,28,MOBA,4.98,8.14,2,38.1,Yes,232,94,64.58,288.31,Win
PL_000067,22,Battle Royale,1.1,4.68,2,63.9,No,146,93,,262.87,Loss
PL_000068,27,MOBA,0.5,7.28,1,97.6,No,209,98,84.36,261.02,Loss
PL_000069,24,MOBA,1.13,8.92,2,59.1,Yes,281,89,85.36,237.28,Win
PL_000070,20,Fighting,1.96,6.71,1,54.3,No,240,89,93.4,261.1,Win
PL_000071,24,Battle Royale,0.5,4.76,0,27.8,Yes,108,64,,270.1,Loss
PL_000072,29,MOBA,4.86,6.9,1,68.2,Yes,232,81,88.48,261.87,Win
PL_000073,22,FPS,1.86,6.16,0,67.9,No,187,71,97.09,250.69,Loss
PL_000074,29,FPS,1.88,2.38,1,68.9,No,127,83,77.55,293.42,Loss
PL_000075,16,MOBA,0.5,3.93,0,27.8,No,227,75,87.71,277.17,Win
PL_000076,26,MOBA,0.79,6.41,0,30.6,Yes,254,90,86.74,258.74,Win
PL_000077,23,FPS,2.06,8.65,0,98.2,Yes,193,86,78.95,234.75,Loss
PL_000078,21,MOBA,7.09,8.85,1,87.6,Yes,274,65,86.16,240.62,Win
PL_000079,23,MOBA,0.99,4.42,0,21.8,Yes,334,104,78.26,260.5,Loss
PL_000080,16,MOBA,3.24,7.09,0,40.8,No,211,77,80.77,267.14,Loss
PL_000081,22,MOBA,0.5,5.82,0,86.5,No,401,87,97.03,254.45,Win
PL_000082,24,FPS,6.1,4.15,1,62.1,Yes,143,88,60.05,297.59,Loss
PL_000083,28,MOBA,0.5,7.63,0,44.5,No,309,82,100.0,267.01,Loss
PL_000084,20,Battle Royale,2.84,7.45,0,74.8,No,152,79,100.0,257.26,Win
PL_000085,19,FPS,3.84,5.84,0,13.8,No,118,77,84.16,263.18,Loss
PL_000086,20,FPS,1.07,4.67,3,68.3,No,178,100,77.46,281.62,Win
PL_000087,26,MOBA,1.67,6.51,0,89.6,No,253,86,87.93,275.78,Loss
PL_000088,24,FPS,6.04,5.88,2,24.9,No,133,80,76.31,273.56,Loss
PL_000089,20,FPS,4.62,3.52,1,19.5,No,147,78,89.54,273.67,Win
PL_000090,25,MOBA,1.32,6.72,3,15.4,No,233,97,87.49,274.38,Loss
PL_000091,23,MOBA,2.27,7.44,0,59.9,Yes,287,77,93.63,268.08,Loss
PL_000092,26,MOBA,2.71,6.96,1,35.1,No,238,80,83.73,268.53,Win
PL_000093,20,FPS,8.64,4.67,1,95.5,No,140,70,68.73,301.83,Loss
PL_000094,21,MOBA,2.85,7.26,0,90.3,No,242,85,91.42,248.21,Loss
PL_000095,21,FPS,2.03,4.35,1,76.5,Yes,101,67,91.59,247.82,Loss
PL_000096,17,MOBA,2.27,8.62,1,,No,237,83,97.6,214.24,Loss
PL_000097,24,FPS,6.75,7.05,1,37.8,No,109,68,85.16,257.77,Loss
