freelancer_id,age,gender,country,years_experience,num_skills,profile_completeness,has_portfolio,has_video_profile,has_certifications,primary_skill,hourly_rate_usd,total_jobs_completed,job_success_rate,repeat_client_rate,avg_response_time_hrs,total_earnings_12m_usd,success_score,churn_risk,earnings_tier
FL_000000,27,Female,United Kingdom,3.3,15,51.4,1,0,1,Web Development,231.26,24,100,0.327,15.1,71463,82.2,0,High
FL_000001,40,Male,United States,4.8,4,61.7,0,1,0,Data Science & Analytics,201.14,30,51.6,0.219,23.8,106008,72.2,0,High
FL_000002,49,Female,Other,1.6,12,100,1,1,1,Video Editing,280,36,96,0.327,12.7,21720,89,0,High
FL_000003,35,Female,United States,6.1,11,99.9,1,0,0,Data Science & Analytics,188.89,42,100,0.222,21.4,245000,91.8,0,High
FL_000004,31,Male,United States,2.2,7,81.9,1,1,1,Video Editing,280,27,87.2,0.35,4.7,108821,79.8,0,High
FL_000005,28,Female,United Kingdom,7.1,13,73.1,1,1,1,AI & Machine Learning,280,35,91.6,0.188,19.2,25910,96.2,0,High
FL_000006,49,Male,Nigeria,1.1,15,69.6,0,1,0,Web Development,264.2,27,78,,21.3,43113,80.3,1,High
FL_000007,41,Male,India,0,14,80.8,1,0,0,Virtual Assistant,218.35,35,,0.215,11.6,107569,70.4,1,High
FL_000008,27,Female,India,3.8,7,69.9,1,1,1,Web Development,280,37,100,0.355,14.3,142533,91,0,High
FL_000009,46,Female,Canada,2.3,7,69.8,1,0,0,Content Writing / Copywriting,189.19,24,81.3,0.403,,66304,75.6,0,High
FL_000010,39,Male,India,0.2,9,86.8,1,0,0,Video Editing,199.98,21,100,0.386,10.1,223047,83.6,0,High
FL_000011,43,Male,India,2.5,5,62.8,0,1,1,Web Development,280,26,77.9,0.214,12.2,38680,65,0,High
FL_000012,31,Female,India,0.7,7,40,0,0,0,Digital Marketing,276,29,68.4,0.359,20.1,153976,65.2,1,High
FL_000013,31,Female,India,3.8,7,69.6,1,1,0,Web Development,280,33,76.4,0.461,24,204758,72.4,0,High
FL_000014,44,Female,Philippines,2.2,11,100,1,1,0,Data Science & Analytics,130.84,33,81.4,0.41,15.1,32879,80.3,0,Medium
FL_000015,41,Female,Nigeria,0.7,5,52.9,1,0,0,Content Writing / Copywriting,280,23,74.8,0.174,15.9,77234,67.2,0,High
FL_000016,24,Male,Germany,2,11,59.2,0,0,0,AI & Machine Learning,280,35,87.1,0.279,13.3,245000,79.3,1,High
FL_000017,28,Female,India,1,15,68.8,0,0,1,Mobile App Development,280,21,80,0.324,20.8,172050,80.4,0,High
FL_000018,44,Male,United States,4,13,53.4,0,0,0,Mobile App Development,,32,100,0.197,16.9,94236,92.4,0,High
FL_000019,23,Male,United States,1.3,14,100,1,0,1,Content Writing / Copywriting,280,19,82.6,0.462,8.3,29742,86,0,Medium
FL_000020,42,Male,India,6.6,5,80.6,0,1,1,Accounting & Finance,280,41,81.3,0.394,9.2,75468,80.3,0,High
FL_000021,41,Male,United States,0.1,12,50.5,1,0,0,Mobile App Development,186.07,13,,0.271,,78139,69.1,1,High
FL_000022,22,Male,India,2,12,77,1,1,1,Web Development,150.05,22,86,0.298,,48298,80.8,0,High
FL_000023,44,Female,United States,3.6,9,78.4,1,0,1,Web Development,280,37,70.8,0.285,2.9,133253,75,0,High
FL_000024,32,Male,Pakistan,0.1,13,75.1,1,0,0,Graphic Design,280,29,79.9,0.432,15,245000,83.9,0,High
FL_000025,50,Male,India,0.9,15,76.4,0,0,1,Graphic Design,280,23,73.7,0.352,28.9,81803,65.5,1,High
FL_000026,26,Female,United States,1.5,8,76.9,0,1,0,Data Science & Analytics,201.87,24,94.2,0.282,10.8,139594,78.4,0,High
FL_000027,22,Male,United Kingdom,0.1,10,84,1,0,0,Web Development,280,21,100,,9.1,200543,75.1,0,High
FL_000028,48,Male,India,3,11,85,1,0,0,Virtual Assistant,280,33,,0.393,9.3,116254,85,0,High
FL_000029,41,Male,Nigeria,3.8,11,55,1,0,1,Virtual Assistant,280,31,93,0.485,13.2,245000,98,0,High
FL_000030,21,Female,India,1,6,80,1,0,1,Data Science & Analytics,280,25,85,,5.5,245000,75.7,0,High
FL_000031,32,Male,United States,3,6,81.9,1,1,0,Video Editing,280,25,86.3,0.418,16,117122,82.2,0,High
FL_000032,46,Male,India,20,8,69.2,1,0,0,Virtual Assistant,,58,97,0.208,11,216075,99,0,High
FL_000033,42,Male,India,8.3,8,100,1,1,1,Digital Marketing,280,38,76.6,0.467,12.1,132498,99,0,High
FL_000034,49,Male,Germany,0.2,5,77.7,1,0,0,Graphic Design,236.74,17,77.8,0.21,13.6,147980,75.4,0,High
FL_000035,32,Male,Other,0.5,8,87.1,0,0,0,Content Writing / Copywriting,280,16,92.3,0.528,3.7,177064,92.2,0,High
FL_000036,45,Male,United States,2.6,4,71.8,0,1,0,Virtual Assistant,280,27,,0.384,10.2,81831,92.3,0,High
FL_000037,37,Male,Ukraine,1.1,14,74.1,1,0,0,Web Development,120.77,23,89.8,0.284,26.7,69774,90.8,0,High
FL_000038,47,Female,India,0.3,10,84.5,1,1,1,Web Development,280,24,95.8,0.196,14,125366,80.3,0,High
FL_000039,47,Male,United States,1.1,14,56.8,1,1,0,Graphic Design,280,26,76.7,0.19,17.3,17389,66.7,0,Medium
FL_000040,51,Male,United States,0.2,10,90.9,1,1,1,Web Development,280,33,76.1,0.254,14.3,225199,88.9,0,High
FL_000041,30,Male,Other,2.9,4,59.3,1,1,1,Web Development,252.46,23,100,,15.8,68289,83.8,0,High
FL_000042,48,Male,India,2.6,6,93.1,1,1,1,Data Science & Analytics,280,23,91.4,0.368,18.1,90753,86.7,0,High
FL_000043,48,Female,Other,0,11,74.7,0,1,1,Mobile App Development,143.84,28,99.1,0.276,15.2,42634,69.5,0,High
FL_000044,36,Male,United Kingdom,2.5,14,100,0,0,1,Virtual Assistant,233.35,32,100,,12.7,140688,78.1,0,High
FL_000045,35,Male,India,2.8,12,94.7,1,0,0,AI & Machine Learning,280,28,93.8,0.397,6.9,115197,85,0,High
FL_000046,50,Female,Germany,3.5,6,94.8,1,1,1,Digital Marketing,280,37,57.8,0.331,18.4,245000,84.1,0,High
FL_000047,50,Male,Other,13.3,9,81.3,0,0,0,Web Development,129.72,52,99.4,0.393,14.8,62063,99,0,High
FL_000048,35,Male,Canada,15.4,9,95.2,0,0,0,Digital Marketing,280,51,74.5,0.289,5.2,245000,99,0,High
