intent,easy,hard,medium
account_locked,105,140,255
account_login,105,138,257
damaged_item,101,141,258
delayed_delivery,104,141,255
duplicate_payment,108,138,254
human_agent_request,104,140,255
missing_item,106,138,256
order_cancellation,108,136,255
order_status,107,138,256
order_tracking,110,134,257
password_reset,109,138,253
payment_failed,108,135,257
payment_pending,104,140,256
payment_reversed,103,142,255
product_availability,107,136,257
product_information,105,137,258
refund_request,107,136,257
refund_status,106,140,254
return_request,105,136,259
wrong_item,104,140,256
