intent,code_switched,english,nepali_devanagari,romanized_nepali
account_locked,194,102,102,102
account_login,194,102,102,102
damaged_item,194,102,102,102
delayed_delivery,194,102,102,102
duplicate_payment,194,102,102,102
human_agent_request,193,102,102,102
missing_item,194,102,102,102
order_cancellation,194,102,101,102
order_status,194,102,103,102
order_tracking,194,103,102,102
password_reset,194,102,102,102
payment_failed,194,102,102,102
payment_pending,194,102,102,102
payment_reversed,194,102,102,102
product_availability,191,103,103,103
product_information,191,103,103,103
refund_request,194,102,102,102
refund_status,194,102,102,102
return_request,194,102,102,102
wrong_item,194,102,102,102
